BuildingIndex,Year,Month,Day,Hour,Quarter,P1(DayOfWeek),P2(Holiday),P3(HighestTemp),P4(Weather),Demand
1,2017,01,01,00,1,7,5,10.7,2,171.36
1,2017,01,01,00,2,7,5,10.7,2,169.92
1,2017,01,01,00,3,7,5,10.7,2,168.96
1,2017,01,01,01,0,7,5,10.7,2,169.92
1,2017,01,01,01,1,7,5,10.7,2,171.36
1,2017,01,01,01,2,7,5,10.7,2,172.8
1,2017,01,01,01,3,7,5,10.7,2,173.76
1,2017,01,01,02,0,7,5,10.7,2,174.24
1,2017,01,01,02,1,7,5,10.7,2,175.68
1,2017,01,01,02,2,7,5,10.7,2,176.16
1,2017,01,01,02,3,7,5,10.7,2,170.88
1,2017,01,01,03,0,7,5,10.7,2,171.36
1,2017,01,01,03,1,7,5,10.7,2,174.24
1,2017,01,01,03,2,7,5,10.7,2,175.2
1,2017,01,01,03,3,7,5,10.7,2,189.6
1,2017,01,01,04,0,7,5,10.7,2,185.28
1,2017,01,01,04,1,7,5,10.7,2,175.2
1,2017,01,01,04,2,7,5,10.7,2,173.76
1,2017,01,01,04,3,7,5,10.7,2,172.32
1,2017,01,01,05,0,7,5,10.7,2,187.68
1,2017,01,01,05,1,7,5,10.7,2,192.0
1,2017,01,01,05,2,7,5,10.7,2,199.2
1,2017,01,01,05,3,7,5,10.7,2,197.76
1,2017,01,01,06,0,7,5,10.7,2,200.64
1,2017,01,01,06,1,7,5,10.7,2,203.04
1,2017,01,01,06,2,7,5,10.7,2,199.2
1,2017,01,01,06,3,7,5,10.7,2,198.24
1,2017,01,01,07,0,7,5,10.7,2,198.72
1,2017,01,01,07,1,7,5,10.7,2,202.56
1,2017,01,01,07,2,7,5,10.7,2,201.12
1,2017,01,01,07,3,7,5,10.7,2,201.12
1,2017,01,01,08,0,7,5,10.7,2,201.6
1,2017,01,01,08,1,7,5,10.7,2,200.64
1,2017,01,01,08,2,7,5,10.7,2,201.12
1,2017,01,01,08,3,7,5,10.7,2,197.28
1,2017,01,01,09,0,7,5,10.7,2,192.48
1,2017,01,01,09,1,7,5,10.7,2,196.8
1,2017,01,01,09,2,7,5,10.7,2,192.48
1,2017,01,01,09,3,7,5,10.7,2,193.92
1,2017,01,01,10,0,7,5,10.7,2,188.64
1,2017,01,01,10,1,7,5,10.7,2,189.12
1,2017,01,01,10,2,7,5,10.7,2,182.88
1,2017,01,01,10,3,7,5,10.7,2,181.92
1,2017,01,01,11,0,7,5,10.7,2,182.4
1,2017,01,01,11,1,7,5,10.7,2,180.48
1,2017,01,01,11,2,7,5,10.7,2,182.4
1,2017,01,01,11,3,7,5,10.7,2,184.8
1,2017,01,01,12,0,7,5,10.7,2,181.44
1,2017,01,01,12,1,7,5,10.7,2,185.28
1,2017,01,01,12,2,7,5,10.7,2,187.2
1,2017,01,01,12,3,7,5,10.7,2,186.72
1,2017,01,01,13,0,7,5,10.7,2,189.12
1,2017,01,01,13,1,7,5,10.7,2,189.12
1,2017,01,01,13,2,7,5,10.7,2,183.84
1,2017,01,01,13,3,7,5,10.7,2,183.84
1,2017,01,01,14,0,7,5,10.7,2,174.72
1,2017,01,01,14,1,7,5,10.7,2,160.8
1,2017,01,01,14,2,7,5,10.7,2,163.2
1,2017,01,01,14,3,7,5,10.7,2,171.36
1,2017,01,01,15,0,7,5,10.7,2,173.76
1,2017,01,01,15,1,7,5,10.7,2,175.2
1,2017,01,01,15,2,7,5,10.7,2,169.92
1,2017,01,01,15,3,7,5,10.7,2,171.36
1,2017,01,01,16,0,7,5,10.7,2,171.36
1,2017,01,01,16,1,7,5,10.7,2,176.16
1,2017,01,01,16,2,7,5,10.7,2,174.72
1,2017,01,01,16,3,7,5,10.7,2,178.56
1,2017,01,01,17,0,7,5,10.7,2,195.36
1,2017,01,01,17,1,7,5,10.7,2,197.76
1,2017,01,01,17,2,7,5,10.7,2,199.2
1,2017,01,01,17,3,7,5,10.7,2,199.2
1,2017,01,01,18,0,7,5,10.7,2,205.44
1,2017,01,01,18,1,7,5,10.7,2,209.28
1,2017,01,01,18,2,7,5,10.7,2,216.96
1,2017,01,01,18,3,7,5,10.7,2,216.48
1,2017,01,01,19,0,7,5,10.7,2,212.64
1,2017,01,01,19,1,7,5,10.7,2,211.68
1,2017,01,01,19,2,7,5,10.7,2,217.92
1,2017,01,01,19,3,7,5,10.7,2,216.48
1,2017,01,01,20,0,7,5,10.7,2,216.48
1,2017,01,01,20,1,7,5,10.7,2,214.08
1,2017,01,01,20,2,7,5,10.7,2,217.92
1,2017,01,01,20,3,7,5,10.7,2,216.0
1,2017,01,01,21,0,7,5,10.7,2,217.44
1,2017,01,01,21,1,7,5,10.7,2,219.84
1,2017,01,01,21,2,7,5,10.7,2,219.36
1,2017,01,01,21,3,7,5,10.7,2,217.44
1,2017,01,01,22,0,7,5,10.7,2,215.52
1,2017,01,01,22,1,7,5,10.7,2,210.24
1,2017,01,01,22,2,7,5,10.7,2,199.2
1,2017,01,01,22,3,7,5,10.7,2,190.56
1,2017,01,01,23,0,7,5,10.7,2,190.56
1,2017,01,01,23,1,7,5,10.7,2,183.84
1,2017,01,01,23,2,7,5,10.7,2,180.96
1,2017,01,01,23,3,7,5,10.7,2,179.04
1,2017,01,01,24,0,7,5,10.7,2,177.6
1,2017,01,02,00,1,1,4,10.8,2,175.2
1,2017,01,02,00,2,1,4,10.8,2,173.28
1,2017,01,02,00,3,1,4,10.8,2,175.68
1,2017,01,02,01,0,1,4,10.8,2,172.8
1,2017,01,02,01,1,1,4,10.8,2,178.08
1,2017,01,02,01,2,1,4,10.8,2,176.16
1,2017,01,02,01,3,1,4,10.8,2,177.12
1,2017,01,02,02,0,1,4,10.8,2,178.56
1,2017,01,02,02,1,1,4,10.8,2,175.68
1,2017,01,02,02,2,1,4,10.8,2,171.84
1,2017,01,02,02,3,1,4,10.8,2,172.32
1,2017,01,02,03,0,1,4,10.8,2,170.4
1,2017,01,02,03,1,1,4,10.8,2,174.24
1,2017,01,02,03,2,1,4,10.8,2,176.16
1,2017,01,02,03,3,1,4,10.8,2,185.76
1,2017,01,02,04,0,1,4,10.8,2,181.92
1,2017,01,02,04,1,1,4,10.8,2,177.6
1,2017,01,02,04,2,1,4,10.8,2,172.32
1,2017,01,02,04,3,1,4,10.8,2,170.88
1,2017,01,02,05,0,1,4,10.8,2,170.4
1,2017,01,02,05,1,1,4,10.8,2,195.84
1,2017,01,02,05,2,1,4,10.8,2,194.88
1,2017,01,02,05,3,1,4,10.8,2,196.8
1,2017,01,02,06,0,1,4,10.8,2,200.16
1,2017,01,02,06,1,1,4,10.8,2,198.72
1,2017,01,02,06,2,1,4,10.8,2,202.08
1,2017,01,02,06,3,1,4,10.8,2,211.2
1,2017,01,02,07,0,1,4,10.8,2,246.72
1,2017,01,02,07,1,1,4,10.8,2,283.2
1,2017,01,02,07,2,1,4,10.8,2,296.64
1,2017,01,02,07,3,1,4,10.8,2,299.52
1,2017,01,02,08,0,1,4,10.8,2,554.88
1,2017,01,02,08,1,1,4,10.8,2,612.96
1,2017,01,02,08,2,1,4,10.8,2,632.64
1,2017,01,02,08,3,1,4,10.8,2,690.24
1,2017,01,02,09,0,1,4,10.8,2,691.68
1,2017,01,02,09,1,1,4,10.8,2,751.2
1,2017,01,02,09,2,1,4,10.8,2,774.72
1,2017,01,02,09,3,1,4,10.8,2,775.68
1,2017,01,02,10,0,1,4,10.8,2,744.96
1,2017,01,02,10,1,1,4,10.8,2,710.4
1,2017,01,02,10,2,1,4,10.8,2,755.04
1,2017,01,02,10,3,1,4,10.8,2,714.72
1,2017,01,02,11,0,1,4,10.8,2,723.36
1,2017,01,02,11,1,1,4,10.8,2,710.4
1,2017,01,02,11,2,1,4,10.8,2,672.0
1,2017,01,02,11,3,1,4,10.8,2,662.88
1,2017,01,02,12,0,1,4,10.8,2,612.0
1,2017,01,02,12,1,1,4,10.8,2,559.2
1,2017,01,02,12,2,1,4,10.8,2,529.44
1,2017,01,02,12,3,1,4,10.8,2,518.88
1,2017,01,02,13,0,1,4,10.8,2,538.08
1,2017,01,02,13,1,1,4,10.8,2,582.24
1,2017,01,02,13,2,1,4,10.8,2,581.28
1,2017,01,02,13,3,1,4,10.8,2,588.96
1,2017,01,02,14,0,1,4,10.8,2,561.12
1,2017,01,02,14,1,1,4,10.8,2,518.88
1,2017,01,02,14,2,1,4,10.8,2,534.24
1,2017,01,02,14,3,1,4,10.8,2,537.6
1,2017,01,02,15,0,1,4,10.8,2,539.04
1,2017,01,02,15,1,1,4,10.8,2,536.16
1,2017,01,02,15,2,1,4,10.8,2,571.2
1,2017,01,02,15,3,1,4,10.8,2,551.04
1,2017,01,02,16,0,1,4,10.8,2,543.84
1,2017,01,02,16,1,1,4,10.8,2,534.24
1,2017,01,02,16,2,1,4,10.8,2,540.96
1,2017,01,02,16,3,1,4,10.8,2,547.68
1,2017,01,02,17,0,1,4,10.8,2,556.8
1,2017,01,02,17,1,1,4,10.8,2,541.92
1,2017,01,02,17,2,1,4,10.8,2,550.08
1,2017,01,02,17,3,1,4,10.8,2,537.12
1,2017,01,02,18,0,1,4,10.8,2,537.12
1,2017,01,02,18,1,1,4,10.8,2,381.12
1,2017,01,02,18,2,1,4,10.8,2,383.52
1,2017,01,02,18,3,1,4,10.8,2,371.52
1,2017,01,02,19,0,1,4,10.8,2,341.76
1,2017,01,02,19,1,1,4,10.8,2,349.44
1,2017,01,02,19,2,1,4,10.8,2,312.0
1,2017,01,02,19,3,1,4,10.8,2,306.72
1,2017,01,02,20,0,1,4,10.8,2,302.88
1,2017,01,02,20,1,1,4,10.8,2,301.92
1,2017,01,02,20,2,1,4,10.8,2,295.68
1,2017,01,02,20,3,1,4,10.8,2,278.88
1,2017,01,02,21,0,1,4,10.8,2,268.32
1,2017,01,02,21,1,1,4,10.8,2,252.48
1,2017,01,02,21,2,1,4,10.8,2,240.0
1,2017,01,02,21,3,1,4,10.8,2,224.16
1,2017,01,02,22,0,1,4,10.8,2,222.72
1,2017,01,02,22,1,1,4,10.8,2,209.76
1,2017,01,02,22,2,1,4,10.8,2,206.88
1,2017,01,02,22,3,1,4,10.8,2,204.96
1,2017,01,02,23,0,1,4,10.8,2,203.52
1,2017,01,02,23,1,1,4,10.8,2,205.92
1,2017,01,02,23,2,1,4,10.8,2,200.64
1,2017,01,02,23,3,1,4,10.8,2,196.32
1,2017,01,02,24,0,1,4,10.8,2,178.56
1,2017,01,03,00,1,2,4,9.2,1,171.84
1,2017,01,03,00,2,2,4,9.2,1,168.0
1,2017,01,03,00,3,2,4,9.2,1,167.52
1,2017,01,03,01,0,2,4,9.2,1,183.84
1,2017,01,03,01,1,2,4,9.2,1,172.8
1,2017,01,03,01,2,2,4,9.2,1,170.4
1,2017,01,03,01,3,2,4,9.2,1,171.84
1,2017,01,03,02,0,2,4,9.2,1,187.68
1,2017,01,03,02,1,2,4,9.2,1,169.92
1,2017,01,03,02,2,2,4,9.2,1,171.36
1,2017,01,03,02,3,2,4,9.2,1,172.32
1,2017,01,03,03,0,2,4,9.2,1,188.64
1,2017,01,03,03,1,2,4,9.2,1,177.6
1,2017,01,03,03,2,2,4,9.2,1,177.6
1,2017,01,03,03,3,2,4,9.2,1,182.88
1,2017,01,03,04,0,2,4,9.2,1,183.36
1,2017,01,03,04,1,2,4,9.2,1,173.76
1,2017,01,03,04,2,2,4,9.2,1,172.8
1,2017,01,03,04,3,2,4,9.2,1,175.68
1,2017,01,03,05,0,2,4,9.2,1,186.24
1,2017,01,03,05,1,2,4,9.2,1,197.28
1,2017,01,03,05,2,2,4,9.2,1,202.08
1,2017,01,03,05,3,2,4,9.2,1,202.56
1,2017,01,03,06,0,2,4,9.2,1,198.72
